,ACURA,AUDI,BMW,BUICK,CADILLAC,CHEVROLET,CHRYSLER,DAEWOO,DODGE,FORD,GMC,HONDA,HUMMER,HYUNDAI,INFINITI,ISUZU,JAGUAR,JEEP,KIA,LAND ROVER,LEXUS,LINCOLN,MAZDA,MERCEDES-BENZ,MERCURY,MINI,MITSUBISHI,NISSAN,OLDSMOBILE,PONTIAC,PORSCHE,RAM,SAAB,SATURN,SCION,SUBARU,SUZUKI,TOYOTA,VOLKSWAGEN,VOLVO
ACURA,0,2.1311884807574297,2.024090329028136,0.6503426290246221,1.0039718004765779,0.32452730002563385,0.3023845368786724,0.5493783579005372,0.21002065637821277,0.3240687777901996,0.5529394433082603,1.0023304757052716,0.15230291110113905,0.4231153612192402,2.5334508734264642,0.3512007767400695,1.1986436899648085,0.277102967868988,0.1862943912603898,0.662306131468981,2.516432768135202,0.9171904441951048,0.8010640095495519,1.6844896375264038,0.387796487929791,0.4024515877643471,0.6366967724012849,0.6202146756868044,0.2714575415508537,0.258530991953194,0.6833843110849935,0.07467278651075264,1.6095389857773588,0.2241328883459247,0.5087628372775403,0.7902246819779605,0.07691297010607522,0.5206645847717185,0.9132618009278582,2.0106690154633875
AUDI,0,0,3.8181874063186694,0.5805641226762883,1.1983153441337324,0.231402447954807,0.3089749236179166,0.0,0.11130372358269038,0.31611894904641213,0.25978100391064446,0.36725801809867936,0.0,0.3261971549233163,2.1752386363636362,0.0,3.364871310507674,0.22427768014059754,0.2609282793331236,0.9989984848484849,2.098477469247275,0.8432498064116463,0.677625359861813,3.1409559348947997,0.2924690603514133,0.674492600422833,0.48018512944009634,0.39910804758747515,0.0,0.09748968678380443,2.1977264345043053,0.0,4.231256420709336,0.28469380925822646,0.0451411390166254,1.3131610400918194,0.15468363636363636,0.2942725289897113,2.2240582541836273,3.3272685740655286
BMW,0,0,0,0.54639293297366,1.3738498224891422,0.2389932437996015,0.3303203292812002,0.7295730522079169,0.24498578505874702,0.3066654989222631,0.26483028883917314,0.42124311122029395,0.8595959724033873,0.4838549887809229,2.117856909154232,0.13991811960151831,3.028833580378322,0.3051641237706226,0.2164736651447366,1.730709407182114,2.6113907145633224,1.0962239046803794,0.589408771241864,3.657422986614361,0.371939203086389,1.1579851351904729,0.5242296434739006,0.43712138011741714,0.12016497330483338,0.4077025879985418,2.414379220550592,0.09916526923214405,2.4275480033106476,0.21148666697438084,0.17884475598871116,0.5424948947196875,0.2553505682727709,0.3473708352624172,0.9722801073868691,2.3396333793520383
BUICK,0,0,0,0,2.7495502306873414,1.0453195137667783,1.361500495419761,0.0,0.3656689664394487,0.7431214709112802,2.5628910176462245,0.4453852870240911,0.0,0.555246123143845,0.41848095399109203,0.25138581914026026,0.7149804466456753,0.1935096463680738,0.5238654310630511,0.152926373310325,1.2865972047608554,1.2817678989553645,0.6779986994053817,0.7951965934980957,1.3107974855170714,0.3200784557657965,0.5924631018976166,0.46212510773286597,4.533817185200223,1.387903219959252,0.1384413102893135,0.0,0.5760455317518969,1.139911310257944,0.5355398287132004,0.21570807554438529,0.36702329594478,0.7249147415663519,0.3104177129881224,0.6986484059862563
CADILLAC,0,0,0,0,0,0.9098351073487211,1.285934226181265,0.0,0.29397866396371114,0.4888069153156492,1.2163412498653898,0.2770414958699364,2.330528427417089,0.3541596707453466,1.2234062950578275,0.0,2.273099488479738,0.4455004997117431,0.29759675620264797,1.1065030268634128,1.954934069429166,3.249078115120072,0.22935639479479608,2.5179896039900305,0.4057459533188985,0.3158095319800438,0.47964008389022106,0.35878952745661785,1.2780997529545304,0.4564641974837608,1.001695950555311,0.2343872254609171,0.487168067269664,0.27770572341803446,0.07045296952083986,0.1734179754770695,0.3621282633371169,0.34226518143987944,0.25222864113033017,0.7352858138824709
CHEVROLET,0,0,0,0,0,0,0.644085761007813,3.496465559756699,1.088291033082943,1.0189019103113377,1.7884101979191602,0.6101596819677426,0.9693171848830453,0.5348352728173068,0.3049071529095263,0.8940733851432655,0.2913721299797249,0.6290872788753815,0.6034125252348282,0.492904519882368,0.31173208951792025,1.5079872757724093,0.676040754780544,0.3494116573824716,0.7370000934781278,0.37353229453796133,0.7496561092524711,0.6651800793124586,0.935818723346646,1.0198024549290372,0.5334088280601167,1.4455452273751401,0.32926357289188646,0.8633910354613935,0.4047464996216412,0.4901444972754275,0.795445914844649,0.7928410070471811,0.35312562618438303,0.3261297190889814
CHRYSLER,0,0,0,0,0,0,0,0.0,2.7919584338519354,0.8575057801935367,0.572223951476906,0.793422742193388,0.40060397923115076,0.4946332750898072,0.37590457848463554,0.1847534333440467,0.2627337785866638,1.9732738186117889,0.7175177672993924,0.11239167195096174,0.4916971486146305,1.125831398759208,0.526761812240257,0.8834279891341971,1.4167017472810304,0.3528575747297636,0.5359073099648507,0.5790483277616634,0.4760117870864262,0.5666806989124121,0.30523806967402856,1.8986554290744992,0.3023991173568477,0.24822700553586644,0.07871790253374752,0.31706488212548195,0.1348700063411541,0.7419539083797232,0.3489174293402991,0.3337519192452417
DAEWOO,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0019439977890559,11.281294200848656,1.3929226336011178,0.0,0.0,0.0,0.0,2.9569482204646564,0.0,0.532559342970654,0.0,0.8018372373579974,0.0,0.0,3.3122404485049834,0.0,0.3135848945330162,0.0,1.595813325330132,0.0,0.0,0.0,0.0,4.433504724847137,0.0,11.394107142857143,0.9204384152885647,0.0,0.0
DODGE,0,0,0,0,0,0,0,0,0,1.612835248952969,1.387449525644343,0.6107791455156901,0.46623798911256437,0.47493007876289034,0.31817592500249325,0.6450689986351918,0.35674270379067424,1.1069055246791484,0.8350741837868205,0.2943127306273063,0.1595712865284764,0.37436713038339925,0.4722259154329756,0.41917567277789003,0.7254767589692703,0.3764465159186476,0.7406545538965323,0.8002779079669151,0.5540004341219883,0.8573816242364104,0.35524755415198744,13.563149786837673,0.14077738983667865,0.45139989360016297,0.5496891466969145,0.4100133818055638,0.4316586715867159,0.7741192753231353,0.2811345486589194,0.14939732519152601
FORD,0,0,0,0,0,0,0,0,0,0,1.3660610644315592,0.7325933406314328,0.43832958418839235,0.7872200578444566,0.4520946947483626,0.9923825455224126,0.6272201369968495,0.7780542707034732,0.6893453149260357,0.5925197636768849,0.3291965157759814,1.0924410544343197,1.0196189419160608,0.3569065878645156,2.299807168988448,0.3392884122853597,1.0528090765319635,0.850678639086411,0.5208386823885603,0.7158713491704238,0.2901265540090205,1.7062485226233066,0.2286056453478801,0.6666618940779397,0.3288634764993209,0.6132485376601761,0.5634527564021699,0.8947306992364784,0.400463934898486,0.6026778939036986
