,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,4009,367,786,46,111,105,29,1,34,154,61,700,2,86,370,4,32,41,27,30,680,98,140,288,18,16,46,263,3,23,53,3,68,19,15,112,3,389,174,198
1,0,2705,1000,29,88,51,20,0,13,100,19,173,0,44,215,0,63,22,24,31,386,59,80,385,9,19,25,119,0,6,109,0,115,16,1,126,3,151,279,223
2,0,0,6132,57,228,118,45,2,64,215,42,441,16,143,466,3,130,65,46,115,1067,177,151,1001,25,76,61,284,2,57,273,6,157,27,8,115,11,385,278,346
3,0,0,0,1113,74,95,35,0,15,91,71,86,0,32,18,1,6,8,19,2,95,38,31,39,15,3,11,55,14,35,3,0,7,27,4,9,3,149,17,16
4,0,0,0,0,1709,125,43,0,22,93,53,84,13,32,77,0,27,27,16,21,225,149,18,190,7,5,15,68,6,18,30,3,9,9,1,10,5,111,21,32
5,0,0,0,0,0,5138,74,8,235,603,242,542,16,140,56,16,11,115,109,27,106,208,147,78,41,21,70,368,13,113,49,67,18,92,17,89,33,756,83,41
6,0,0,0,0,0,0,1479,0,166,136,18,205,2,37,21,1,3,103,34,2,50,41,35,59,20,4,13,87,2,14,9,23,5,7,1,17,2,210,26,13
7,0,0,0,0,0,0,0,28,0,0,0,5,1,2,0,0,0,0,3,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,3,5,0,0
8,0,0,0,0,0,0,0,0,2664,501,98,285,4,65,31,6,6,103,76,9,28,28,55,51,21,11,38,225,4,49,17,302,4,25,11,39,10,385,35,10
9,0,0,0,0,0,0,0,0,0,7392,270,945,10,288,113,25,32,210,186,51,166,203,329,122,187,28,144,684,10,111,41,102,19,104,19,163,37,1244,140,110
10,0,0,0,0,0,0,0,0,0,0,1673,147,3,25,28,14,4,47,22,20,55,23,41,36,7,4,14,128,4,27,8,16,7,27,1,16,3,264,7,28
11,0,0,0,0,0,0,0,0,0,0,0,10949,13,650,708,18,18,158,356,29,314,89,665,180,84,64,197,1319,18,117,59,24,41,183,96,327,90,3111,424,167
12,0,0,0,0,0,0,0,0,0,0,0,0,202,2,3,0,1,20,0,18,7,5,1,9,1,1,2,9,0,2,1,1,0,0,0,2,1,11,1,1
13,0,0,0,0,0,0,0,0,0,0,0,0,0,3158,85,4,24,50,184,2,151,28,170,81,28,12,70,273,3,22,12,7,13,44,15,79,35,673,77,30
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2326,5,21,27,169,16,433,55,61,180,7,9,25,231,4,20,50,0,13,11,4,46,8,242,74,88
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,12,6,3,7,9,5,2,0,0,6,21,0,0,0,0,1,4,0,6,6,29,1,4
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,3,8,5,56,23,9,113,6,3,2,12,0,2,16,1,6,3,0,8,0,18,6,26
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2232,53,34,59,23,36,35,23,7,32,136,1,21,9,12,3,41,7,59,15,206,26,27
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2225,4,80,18,97,37,15,14,37,146,2,24,4,5,2,30,24,35,25,351,30,15
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,69,11,8,80,3,1,5,18,0,1,33,0,5,4,0,8,2,75,11,29
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4255,282,75,573,17,10,51,265,6,22,89,3,43,32,9,60,3,651,91,180
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1722,29,129,79,4,26,68,5,8,12,8,7,10,0,12,4,145,24,39
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2720,51,28,33,66,338,5,62,18,2,21,45,37,121,17,592,167,42
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2845,11,13,34,126,3,19,120,4,56,14,4,37,7,196,127,139
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,1,8,48,2,13,3,3,4,12,2,14,2,93,11,9
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,10,28,1,13,11,2,8,4,11,19,2,59,45,10
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,118,3,17,13,8,5,25,6,49,11,199,31,22
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6742,7,61,40,56,24,60,38,158,55,1634,241,74
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,11,1,1,1,5,0,2,0,14,5,2
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1391,16,9,5,37,3,20,5,165,28,6
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,1,4,6,3,19,4,31,43,23
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,1,2,1,4,1,82,3,1
