,brand_name,ACURA,AUDI,BMW,BUICK,CADILLAC,CHEVROLET,CHRYSLER,DAEWOO,DODGE,FORD,GMC,HONDA,HUMMER,HYUNDAI,INFINITI,ISUZU,JAGUAR,JEEP,KIA,LAND ROVER,LEXUS,LINCOLN,MAZDA,MERCEDES-BENZ,MERCURY,MINI,MITSUBISHI,NISSAN,OLDSMOBILE,PONTIAC,PORSCHE,RAM,SAAB,SATURN,SCION,SUBARU,SUZUKI,TOYOTA,VOLKSWAGEN,VOLVO
0,ACURA,15.915939136941882,2.159389893995442,2.040105701506249,0.6578016175196105,1.033744437800204,0.32525761179036544,0.3120772379792526,0.5684263977479244,0.20313135535136032,0.33158206535295587,0.5803181633911864,1.0175502233865483,0.15758355581130576,0.4334296281751114,2.531770198051804,0.29749418947554923,1.1368527954958487,0.29236268127895026,0.1931372389651374,0.709477227501124,2.5435578409213817,0.9057851541349038,0.819202749695538,1.6111741551631853,0.40636440349638847,0.3706768940190249,0.6542745310985939,0.6208679906579228,0.2808695141813273,0.26316793684375506,0.7142631450109397,0.087290342615769,1.6574025441225848,0.23279664634480043,0.5068770425777669,0.8051423592310257,0.08190020139078154,0.5282679457568594,0.9349673902187331,2.03971258842362
1,AUDI,0.0,23.588539741219964,3.8467938260306536,0.6146160399778786,1.2146234623916659,0.234140818762596,0.3189795772984444,0.0,0.11510924047892626,0.3191090332957246,0.26789136585964096,0.37271142343876645,0.0,0.3286560318599362,2.1803680328298762,0.0,3.317138401109058,0.23250352791525056,0.25443818147832764,1.0865449212151839,2.1398769306958654,0.8082020004250742,0.6937805806241165,3.1921222496905752,0.30113029456876544,0.6523759171516438,0.5270004410460224,0.41635067178955437,0.0,0.10174783497291141,2.177096385938168,0.0,4.154183874793715,0.29054398449539603,0.05008182535290863,1.3424372210450388,0.12138185115550582,0.30391377994233915,2.221877983727336,3.404688907632396
2,BMW,0.0,0.0,10.405577299412915,0.5329001851451358,1.388222132396808,0.23897588971014483,0.3165997149922794,0.7432555213866369,0.24998383902493496,0.30265139601917984,0.26122788199362973,0.4191122101599321,0.8242041425277558,0.47118351925777296,2.0846943342761906,0.14587257896373249,3.019475555633212,0.3030298048664155,0.21512654192044678,1.7780704152042874,2.609342180604837,1.0695628234588188,0.5776625633129965,3.661153910970942,0.3689921028160609,1.1511264552480083,0.5672387982700517,0.43832452581329995,0.12241855646368137,0.4263967692786026,2.405353600965052,0.11413795940855118,2.5018003614208695,0.2162822071471507,0.17674016644438076,0.5404884324446637,0.19633164715873427,0.3418214385899294,0.9766206918422656,2.3303105149494296
3,BUICK,0.0,0.0,0.0,57.3288409703504,2.482348877592703,1.0599921938854202,1.3566662839501447,0.0,0.3227975279862072,0.7057527770971167,2.4329633645516306,0.4502950336514873,0.0,0.5809128914031707,0.4436453729433822,0.26789178023528226,0.7677969772814784,0.2054797167396072,0.4895496532299584,0.1703680266578021,1.2799623718409607,1.2650963744908914,0.6533801728238463,0.7858786635654362,1.2197625738372426,0.2503442837133205,0.5635542901464293,0.4676781746320486,4.721198668146503,1.4424942012669044,0.1456278771473761,0.0,0.6145511283192233,1.191592537489962,0.4868691377524451,0.23304406898516422,0.29500261219734336,0.7288393604592329,0.3290311601944486,0.5936967349680301
4,CADILLAC,0.0,0.0,0.0,0.0,37.33586892919836,0.908326900768742,1.0854917944256453,0.0,0.30832924791380034,0.4697288704566352,1.182786044977593,0.28643830395950887,2.4028034459385084,0.378324194342732,1.2359681459794813,0.0,2.2501528149293657,0.4516435757564318,0.2684826529740107,1.1650122548486859,1.9742821407919227,3.230571701771519,0.24707560320793032,2.493432371370014,0.3707107553253738,0.27173121491410746,0.5004808167452864,0.37657061512688944,1.3177365504422949,0.48313849081636984,0.9484132666180787,0.20476710564459794,0.5145831858541887,0.2586780757219286,0.07926936078386065,0.16863536101715612,0.3202047077975846,0.35360763234991627,0.26470399983563997,0.7732995506371182
5,CHEVROLET,0.0,0.0,0.0,0.0,0.0,12.418645387310239,0.6213521018667733,3.548184396374354,1.0954886133700847,1.0130469654421095,1.7963611379133757,0.614750735219851,0.9836550801829891,0.5505415941176167,0.2989871632370479,0.9284968513876815,0.304922096563421,0.6398495607261099,0.6083740886367712,0.49822202891140627,0.30937165947235845,1.5000454358655804,0.6711547323288988,0.34047604225314543,0.722219093446411,0.37960924764703785,0.7768589607790141,0.6778495257386782,0.9496611178531357,1.008847540450077,0.5152528568824739,1.5211137860142339,0.3423210060820586,0.8795345462914103,0.44823136217467946,0.49921383896594906,0.7029421917345418,0.8010662041643806,0.34799040079228555,0.32955628535904186
6,CHRYSLER,0.0,0.0,0.0,0.0,0.0,0.0,43.1419878296146,0.0,2.6882770194129217,0.7937378713240781,0.4641696239886807,0.8077548182547258,0.4271483943526199,0.5054634419555859,0.38950203973426767,0.20159807397016172,0.2888972399304549,1.990871302173075,0.6592483533514141,0.12820798760658128,0.5069563787263761,1.0271901864193953,0.5551358728075408,0.894684457626454,1.2238861795635347,0.25119061327286524,0.5012027183065146,0.5567120945085242,0.5075527979954659,0.4342112362434252,0.3287704406998572,1.81401411349385,0.33033681339674276,0.23248184357759988,0.09159657713293971,0.33126187583714917,0.14799995824910672,0.7730219662302957,0.3786940187609654,0.363007017336563
7,DAEWOO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2278.8214285714284,0.0,0.0,0.0,1.0406527667236407,11.281294200848658,1.4432054645797523,0.0,0.0,0.0,0.0,3.0725682182985548,0.0,0.5355632029545073,0.0,0.8378019957983193,0.0,0.0,3.3170617592014975,0.0,0.33800377166588974,0.0,1.6382612714388416,0.0,0.0,0.0,0.0,4.838262056414923,0.0,11.7263538348444,0.9721934422233057,0.0,0.0
8,DODGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.951576576576578,1.6233414319351822,1.403021222058879,0.6234541350191182,0.4742886450807244,0.49298685163947986,0.31921705669556055,0.67153953018439,0.3207800434362934,1.105292288255998,0.8181212673347504,0.3203034014698205,0.15761319486348865,0.3894565297004322,0.48431496754107045,0.4293604236925854,0.7134512171746215,0.3835041373250981,0.8133689990258355,0.799333243804469,0.5635665076841547,0.8437291533085927,0.344772905844032,13.223722351236065,0.1467171612654002,0.460961827878687,0.5593786461620857,0.4219112405088016,0.410833217436991,0.7868052032407835,0.2830199798042472,0.15502638560890986
9,FORD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.631899350649352,1.3930740135536908,0.745012776177152,0.42732175003214606,0.7872029806798648,0.419348506716843,1.0083994568515597,0.6165642393320966,0.812141067937439,0.7215879906610243,0.6541261023523283,0.33675565034260685,1.0175816307676064,1.0440790023395723,0.37015526213680877,2.2895959979736578,0.35180958052137096,1.1108074231398626,0.8757370447707143,0.5077587853323148,0.6888143982186038,0.2996679706830003,1.6096046321137727,0.2511578677830592,0.6910835507833198,0.34820825406016487,0.6355011717054401,0.547822085718741,0.9162186682771153,0.40798984101651226,0.6145688858067498
